prov,city,prov_city,land_price
Henan,Jiyuan,Henan-Jiyuan,26.219802344057214
Qinghai,Haibeizangzu,Qinghai-Haibeizangzu,1.9255771964806978
Hebei,Xingtai,Hebei-Xingtai,48.3266817618102
Chongqing,Kaizhou,Chongqing-Kaizhou,16.76849517339774
Hubei,Xiaogan,Hubei-Xiaogan,48.35539193669762
Hunan,Zhuzhou,Hunan-Zhuzhou,17.754469618941076
Yunnan,Nujianglisuzu,Yunnan-Nujianglisuzu,2.4997616206928814
Shanxi,Xianyang,Shanxi-Xianyang,28.474277652567352
Neimenggu,Xingan,Neimenggu-Xingan,5.508803178588757
Xizang,Shannan,Xizang-Shannan,2.9509830846786254
Jiangsu,Suqian,Jiangsu-Suqian,35.465974638652796
Gansu,Tianshui,Gansu-Tianshui,15.10155223387498
Hebei,Baoding,Hebei-Baoding,32.07622479643488
Xinjiang,Yilihasake,Xinjiang-Yilihasake,17.348298712175822
Hunan,Hengyang,Hunan-Hengyang,24.009637547213618
Shandong,Heze,Shandong-Heze,39.053556773695604
Anhui,Huainan,Anhui-Huainan,54.899083224769285
Shanxi,Datong,Shanxi-Datong,7.983540556601986
Gansu,Dingxi,Gansu-Dingxi,10.51539716745369
Hebei,Hengshui,Hebei-Hengshui,44.45740609806606
Guangdong,Guangzhou,Guangdong-Guangzhou,20.181833967237285
Henan,Xinyang,Henan-Xinyang,66.57687931221174
Xinjiang,Akesu,Xinjiang-Akesu,29.012979840788006
Sichuan,Mianyang,Sichuan-Mianyang,17.70674678368586
Hubei,Suizhou,Hubei-Suizhou,27.11308795391009
Anhui,Chizhou,Anhui-Chizhou,17.203749405064155
Fujian,Zhangzhou,Fujian-Zhangzhou,15.68714509082123
Jiangsu,Changzhou,Jiangsu-Changzhou,52.80151882007268
Xinjiang,Changjihuizu,Xinjiang-Changjihuizu,24.962670492634413
Heilongjiang,Mudanjiang,Heilongjiang-Mudanjiang,4.06648968197925
Hubei,Xiantao,Hubei-Xiantao,48.7724247933472
Jiangxi,Ganzhou,Jiangxi-Ganzhou,9.29953988045089
Hubei,Xianning,Hubei-Xianning,17.858387132151684
Hubei,Xiangyang,Hubei-Xiangyang,24.092731237852572
Guangdong,Zhongshan,Guangdong-Zhongshan,26.591835557249972
Hunan,Changde,Hunan-Changde,29.527711151816238
Guizhou,Bijie,Guizhou-Bijie,11.344188049177468
Chongqing,Hechuan,Chongqing-Hechuan,31.404995677749902
Tianjin,Baodi,Tianjin-Baodi,40.41130460230131
Tianjin,Wuqing,Tianjin-Wuqing,40.013045099297194
Anhui,Wuhu,Anhui-Wuhu,50.126725797576356
Chongqing,Tongnan,Chongqing-Tongnan,30.09784203380365
Guangxi,Beihai,Guangxi-Beihai,20.151690942409093
Jilin,Tonghua,Jilin-Tonghua,7.456278225315375
Hainan,Chengmai,Hainan-Chengmai,16.91364498837087
Gansu,Linxiahuizu,Gansu-Linxiahuizu,16.307953428986988
Heilongjiang,Shuangyashan,Heilongjiang-Shuangyashan,13.142608113757555
Yunnan,Dalibaizu,Yunnan-Dalibaizu,11.117951548330547
Hainan,Lingshuilizu,Hainan-Lingshuilizu,17.263671727567118
Shanxi,Ankang,Shanxi-Ankang,5.938125169140439
Jiangxi,Xinyu,Jiangxi-Xinyu,20.615536181372082
Sichuan,Meishan,Sichuan-Meishan,37.28051293524112
Xinjiang,Aletai,Xinjiang-Aletai,9.099778064137965
Hunan,Chenzhou,Hunan-Chenzhou,13.74121000766103
Hubei,Qianjiang,Hubei-Qianjiang,45.11900792226457
Qinghai,Xining,Qinghai-Xining,7.917941367593984
Hebei,Handan,Hebei-Handan,51.47334610411724
Henan,Xuchang,Henan-Xuchang,50.65459468872342
Jilin,Changchun,Jilin-Changchun,15.520333134053017
Chongqing,Chengkou,Chongqing-Chengkou,5.250446675889564
Guangdong,Qingyuan,Guangdong-Qingyuan,12.398341413482209
Xinjiang,Tacheng,Xinjiang-Tacheng,22.629866908650616
Yunnan,Lincang,Yunnan-Lincang,6.176274971512521
Jiangxi,Nanchang,Jiangxi-Nanchang,37.113692319593596
Hainan,Wuzhishan,Hainan-Wuzhishan,3.457530788367195
Jilin,Yanbianchaoxianzu,Jilin-Yanbianchaoxianzu,3.563773336264926
Shandong,Zaozhuang,Shandong-Zaozhuang,36.51083306189623
Guangxi,Hechi,Guangxi-Hechi,4.793846843800764
Shandong,Dezhou,Shandong-Dezhou,41.60256522505884
Ningxia,Yinchuan,Ningxia-Yinchuan,20.78448967969936
Guizhou,Liupanshui,Guizhou-Liupanshui,8.419013662712754
Xinjiang,Wujiaqu,Xinjiang-Wujiaqu,22.73780697510743
Jiangsu,Yangzhou,Jiangsu-Yangzhou,54.501474458156956
Shanxi,Hanzhong,Shanxi-Hanzhong,10.39568254082302
Jiangsu,Yancheng,Jiangsu-Yancheng,62.561413514958346
Zhejiang,Ningbo,Zhejiang-Ningbo,23.04778563526399
