prov,city,prov_city,land_price
Sichuan,Guangyuan,Sichuan-Guangyuan,12.701151145039521
Sichuan,Leshan,Sichuan-Leshan,16.224981971242016
Chongqing,Fengdu,Chongqing-Fengdu,16.914575577476835
Chongqing,Jiulongpo,Chongqing-Jiulongpo,34.80519978588307
Chongqing,Pengshuimiaozuandtujiazu,Chongqing-Pengshuimiaozuandtujiazu,10.373849171498403
Gansu,Longnan,Gansu-Longnan,8.640028268238552
Xinjiang,Kezilesukeerkezi,Xinjiang-Kezilesukeerkezi,10.447155769641823
Liaoning,Fuxin,Liaoning-Fuxin,12.174648445044484
Xinjiang,Tiemenguan,Xinjiang-Tiemenguan,22.119990827544427
Xinjiang,Kashi,Xinjiang-Kashi,38.549662003901716
Hubei,Huangshi,Hubei-Huangshi,21.974523362878895
Henan,Puyang,Henan-Puyang,50.11047653958322
Neimenggu,Baotou,Neimenggu-Baotou,11.61799220589064
