prov,city,loss,loss_ratio
Fujian,Ningde,210569.5505157961,94.17924328325851
Shaanxi,Xianyang,nan,nan
Gansu,Jiayuguan,19789.00482498492,60.16082953992294
Henan,Zhengzhou,103934.05542083249,61.77538320097926
Hunan,Changsha,137517.86014208465,71.81859450300038
Shandong,Linyi,2742.594914191867,5.873366331414355
Sichuan,Guangan,nan,nan
Anhui,Maanshan,67526.1341228062,78.50751507982473
Gansu,Jiuquan,19645.151583583745,71.80284806450376
Shaanxi,Baoji,nan,nan
Shanxi,Shuozhou,53082.34683602777,87.9843181039795
Chongqing,Jiangbei,305325.8308811149,81.70366689280058
Beijing,Dongcheng,nan,nan
Jiangxi,Jiujiang,10321.718164190737,34.62027855391984
Jiangsu,Zhenjiang,nan,nan
Heilongjiang,Qitaihe,3778.8844513643307,40.24210437784625
Guangdong,Yangjiang,200305.37397905398,94.45825342124661
Fujian,Putian,32869.88317194981,58.75499679426438
Guangdong,Jieyang,nan,nan
Hunan,Loudi,178128.7615377553,94.6775831595019
Tianjin,Binhaixin,27149.251609041457,16.66398672902945
Guangdong,Heyuan,14654.27108125649,43.40298276212247
Hebei,Xingtai,24044.09031180572,54.9710133869551
Guangxi,Wuzhou,588546.5314502841,98.75485953333347
Guangxi,Liuzhou,31398.857570769676,54.80556611112781
Shanxi,Datong,9317.37521405925,40.2404582252671
Liaoning,Jinzhou,67070.29180718468,78.62781633259551
Henan,Anyang,149484.09834747366,88.93487005755372
Hubei,Shiyan,8909.995531124037,38.098022747560286
Liaoning,Fushun,40212.85188486041,68.32960667730511
Jiangsu,Taizhou,443117.46798239276,92.51646017540463
Jiangsu,Nanjing,22851.79071853753,9.598646905555118
Tianjin,Hebei,3587.795484529315,5.4953360274365695
Liaoning,Panjin,nan,nan
Shanghai,Minhang,24323.69714135818,5.505761971024721
Shandong,Weihai,189904.64789390832,81.09156914533345
Guangdong,Guangzhou,38505.79736251751,14.865984744422752
Guangxi,Yulin,12376.089418694159,66.66931181401698
Hubei,Huanggang,nan,nan
Hubei,Tianmen,nan,nan
Zhejiang,Zhoushan,nan,nan
Hubei,Jingmen,912955.6287106364,98.5448692168071
Beijing,Fangshan,nan,nan
Neimenggu,Wuhai,6263.299109595,40.18685203942597
Shaanxi,Yanan,nan,nan
Fujian,Zhangzhou,328493.6200267182,92.2060616174042
Guangxi,Beihai,nan,nan
Yunnan,Dalibaizu,nan,nan
Jilin,Baicheng,nan,nan
Guizhou,Bijie,17275.413571332043,73.56094530077605
Heilongjiang,Yichun,5411.452349573311,34.7942020753391
Heilongjiang,Hegang,3831.6206989818133,40.76323399097754
Hunan,Yongzhou,9060.823508922867,60.733288280943064
Gansu,Wuwei,11318.56046621127,43.77195696857588
Hunan,Shaoyang,15843.68566636904,69.77002962176012
Guangxi,Hechi,30632.34841573207,82.8139936021347
Liaoning,Tieling,nan,nan
Hubei,Suizhou,23838.473362193698,72.41902007794887
Heilongjiang,Qiqihaer,3473.6370050515598,16.943679883905308
Hubei,Qianjiang,4146.270549522514,33.11684461593739
Anhui,Tongling,16943.352402683005,44.321501820675785
Jiangxi,Jian,10820.907810369827,52.55379068981135
Jiangxi,Shangrao,nan,nan
Liaoning,Chaoyang,56745.43068471683,80.02073729341855
Shandong,Binzhou,3404.5273115528385,14.789993803684965
Jiangxi,Jingdezhen,357891.81764352403,82.64438029035622
Henan,Puyang,34287.38970218974,64.93145581889019
Guangxi,Fangchenggang,14873.250645728316,63.105958976387775
Guizhou,Guiyang,37933.28555233908,46.020933038407804
Neimenggu,Tongliao,5288.648050469315,24.286107772889274
Anhui,Chuzhou,28864.60177840523,58.88429107665941
Yunnan,Yuxi,12630.612658704596,40.66364384178301
Neimenggu,Eerduosi,125157.49763476833,68.79261598020288
Anhui,Bengbu,3588.805675177687,14.644114976706824
Hainan,Danzhou,48492.18000296991,80.65900300372691
Hunan,Huaihua,43439.02312970581,80.88511835262436
Heilongjiang,Jiamusi,679466.9483138152,97.78025466709073
Gansu,Baiyin,8720.396676702756,40.891813615519865
Shandong,Dezhou,4894.255442758783,14.956727030143835
Anhui,Wuhu,40041.510787216466,49.55984933575956
Gansu,Zhangye,7660.3096716644495,44.05354523997038
Shaanxi,Weinan,nan,nan
Henan,Jiyuan,12742.553122258887,55.697641367208604
Sichuan,Dazhou,nan,nan
Sichuan,Suining,6925.922716219914,36.09910132813037
Liaoning,Benxi,9631.813126752844,27.762713583077687
Henan,Xuchang,52320.35487817711,76.25991004221875
Jilin,Jilin,4763.6747826237415,12.483834983824002
Shandong,Zibo,28500.866740065954,40.493182928470915
Hunan,Zhuzhou,147260.85040295136,90.35761905088789
Sichuan,Bazhong,23898.13271909481,80.19004246508767
Sichuan,Mianyang,149083.03433251384,84.45971927733261
Henan,Shangqiu,nan,nan
Shanxi,Jinzhong,18709.24420033748,59.51996284794018
Henan,Pingdingshan,nan,nan
Sichuan,Yibin,1643115.756422189,99.23034027118418
Jiangsu,Suzhou,257378.8409287991,62.77078002969713
Henan,Luoyang,62492.43751100074,67.20085524359133
Henan,Xinxiang,59133.912141123736,78.04990340928397
Guangxi,Qinzhou,122460.60458268615,94.66892158048393
Neimenggu,Bayannaoer,4645.452482068978,24.31373183129357
Hubei,Jingzhou,107793.76301877738,85.54745791762497
Jiangxi,Xinyu,3206.3487564694324,18.309493425051713
Shandong,Rizhao,7497.3563304177715,20.122079728529528
Anhui,Huangshan,40645.154179025856,48.14762737541784
Liaoning,Dalian,378116.0551354802,76.30813525801608
Anhui,Suzhou,6582.586619142112,25.962318517430433
Zhejiang,Jinhua,nan,nan
Guangdong,Meizhou,2300667.078396562,99.53108868200846
Guangdong,Shaoguan,nan,nan
Hubei,Huangshi,37234.93918585988,66.20170448936707
Hebei,Hengshui,228863.8896432834,93.07362726108217
Jiangsu,Changzhou,303729.46061125497,78.73143852621376
Zhejiang,Ningbo,293530.5420793029,75.0754834214852
Fujian,Quanzhou,52896.65246444226,58.6310939451549
Shanghai,Baoshan,22074.649459962824,7.36824750673145
Tianjin,Xiqing,20765.64388897318,13.445391151265836
Shanghai,Yangpu,774781.4679266345,54.884705779744536
Shanghai,Jiading,33908.77102926337,11.82549524162342
Guangdong,Foshan,51764.58501747131,30.99096172893578
Shanghai,Huangpu,7240.749217779352,1.9720479033539657
Zhejiang,Hangzhou,67908.11265669782,20.99318778895958
Shaanxi,Xian,nan,nan
Neimenggu,Huhehaote,11338.862914850431,17.98205734212445
Liaoning,Dandong,112545.85310172911,84.5255826009261
Jiangsu,Yancheng,529220.5955893627,93.80080274285763
Shanghai,Pudongxin,25021.129839381352,5.340932773414648
Anhui,Hefei,185995.42218448396,65.33069794254386
Zhejiang,Quzhou,79626.1493843968,71.73360736481462
Guangdong,Zhanjiang,135084.6098141896,88.61118587570374
Chongqing,Dadukou,101444.95893262228,60.98365949990756
Liaoning,Anshan,282772.3389557184,95.64688696953564
Hebei,Tangshan,10482.145162467912,13.504689407736741
