id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county
500625,欣涛园,青岛,市南,五四广场,1999,多层,澳门路16号,120.3760773,36.05928734,1.0,35.0,,78,公寓住宅,民用,8.1,12,0.0,44515.0,,,
500649,八大关别墅区,青岛,市南,八大关,1995,低层,山海关路21号,120.3414142,36.05032662,,50.0,,9,别墅,民用,7.8,12,0.0,183615.0,,,
500651,东海国际大厦,青岛,市南,八大关,2010,超高层,汇泉路17号,120.3401312,36.0476112,1.0,20.0,,668,商住楼,商用,7.5,12,0.0,23076.0,,,
502322,海涛园(别墅),青岛,崂山,沙子口,1998,低层,香港东路,120.5182617,36.09812702,1.0,45.0,,0,别墅,民用,7.4,12,0.0,87500.0,,,
503637,朋家公寓,青岛,青岛周边,烟台,2010,小高层,商业街,121.0441139,36.59832453,,,,0,酒店,商用,,12,,,,,
505546,海关街小区,青岛,青岛周边,烟台,2007,多层,海关街,121.3951769,37.54450967,1.0,30.0,,30,公寓住宅,民用,7.4,12,0.0,13900.0,,,
505720,曦岛度假公寓,青岛,青岛周边,烟台,2000,多层,海景路9号,121.2269667,36.69425335,1.0,30.0,,0,商住楼,商用,7.0,12,0.0,4800.0,,,
505750,新城璞樾园著(公寓住宅),青岛,青岛周边,烟台,2021,多层,芝罘岛路,121.3604597,37.61686845,,30.0,,900,公寓住宅,民用,6.9,12,0.0,33695.0,,,
505751,新城璞樾园著(别墅),青岛,青岛周边,烟台,2021,低层,芝罘岛路,121.3598492,37.61792247,,35.0,,0,别墅,民用,6.8,12,0.0,21400.0,,,
506754,高尔夫住宅小区,青岛,青岛周边,烟台,2014,低层,烟威高速路,121.6957756,37.45934965,,50.0,,0,别墅,民用,6.4,12,0.0,7500.0,,,
518147,兴港路自建房,钦州,钦南,钦南城区,,多层,"兴港路,近西桃源路",108.5958791,21.73986995,,,,0,,暂无,6.4,12,,,,,
525055,逸海豪庭,日照,东港,山海天,2006,低层,碧海路7号,119.5855469,35.45792463,,50.0,,0,别墅,民用,6.8,12,0.0,8046.0,,,
527687,海洋明珠,乳山,银滩,长江路,2009,高层,长江路,121.622741,36.81001161,1.0,30.0,,3753,公寓住宅,民用,7.6,12,-0.53,3197.0,,,
527817,维利亚花园皇冠假日行馆,乳山,银滩,长江路,2012,多层,长江路,121.6253786,36.80661818,,30.0,,22,公寓住宅,民用,7.1,12,0.0,4141.0,,,
528978,万安和府,荣成,石岛,石岛城区,2005,多层,迎宾路,122.4301166,36.87437831,,30.0,,24,公寓住宅,民用,7.2,12,0.0,5136.0,,,
529038,天海湾水城,荣成,成山,成山城区,2009,多层,228国道,122.1780851,36.92418135,,30.0,,10,公寓住宅,民用,6.4,12,0.0,5837.0,,,
577257,杨梅坑度假村,深圳,龙岗,坪地,,低层,杨梅坑34号,114.5667819,22.54794247,,,,0,,暂无,6.0,12,0.0,19800.0,,,
582096,海悦长滩,深圳,深圳周边,惠州,2015,高层,霞光二路,114.6598722,22.77242081,,25.0,,1137,公寓住宅,民用,7.0,12,0.0,16060.0,,,
604057,曦岛度假公寓,石家庄,石家庄周边,其它,2000,多层,海景路9号,121.2269667,36.69425335,1.0,30.0,,0,商住楼,商用,7.0,12,0.0,4800.0,,,
604157,新城璞樾园著(公寓住宅),石家庄,石家庄周边,其它,2021,多层,芝罘岛路,121.3604597,37.61686845,,30.0,,900,公寓住宅,民用,6.9,12,0.0,16796.0,,,
604165,新城璞樾园著(别墅),石家庄,石家庄周边,其它,2021,低层,芝罘岛路,121.3598492,37.61792247,,35.0,,0,别墅,民用,6.8,12,0.0,21400.0,,,
604838,朋家公寓,石家庄,石家庄周边,烟台,2010,小高层,商业街,121.0441139,36.59832453,,,,0,酒店,商用,,12,,,,,
606796,海关街小区,石家庄,石家庄周边,烟台,2007,多层,海关街,121.3951769,37.54450967,1.0,30.0,,30,公寓住宅,民用,7.4,12,0.0,13900.0,,,
607532,高尔夫住宅小区,石家庄,石家庄周边,烟台,2014,低层,烟威高速路,121.6957756,37.45934965,,50.0,,0,别墅,民用,6.4,12,0.0,4500.0,,,
608014,银海家园,石家庄,石家庄周边,烟台,2000,多层,新城北街,121.4434475,37.50156712,1.0,35.0,,120,公寓住宅,民用,6.8,12,0.0,15700.0,,,
608044,招商马尔贝拉,石家庄,石家庄周边,烟台,2015,多层|高层,海滨路277号,121.140796,37.60319142,,35.0,700000.0,2721,公寓住宅,民用,7.0,12,0.0,9900.0,,,
609038,天海湾水城,石家庄,石家庄周边,威海,2009,多层,228国道,122.1780851,36.92418135,,30.0,,10,公寓住宅,民用,6.5,12,0.0,4850.0,,,
